,dataset_name,ACF&PACF: n_random_points=10 nb_inst_per_class=1,ACF&PACF: n_random_points=10 nb_inst_per_class=10,ACF&PACF: n_random_points=30 nb_inst_per_class=1,ACF&PACF: n_random_points=30 nb_inst_per_class=10,Max PACF: n_random_points=10 nb_inst_per_class=1,Max PACF: n_random_points=10 nb_inst_per_class=10,Max PACF: n_random_points=30 nb_inst_per_class=1,Max PACF: n_random_points=30 nb_inst_per_class=10,None: n_random_points=10 nb_inst_per_class=1,None: n_random_points=10 nb_inst_per_class=10,None: n_random_points=30 nb_inst_per_class=1,None: n_random_points=30 nb_inst_per_class=10
0,ACSF1,0.34,0.29,0.31,0.29,0.41,0.34,0.38,0.3,0.44,0.31,0.42,0.28
1,Adiac,0.65,0.63,0.64,0.6,0.72,0.54,0.5,0.56,0.72,0.65,0.62,0.66
2,AllGestureWiimoteX,0.56,0.67,0.62,0.68,0.49,0.53,0.46,0.6,0.45,0.48,0.45,0.55
3,AllGestureWiimoteY,0.58,0.71,0.64,0.72,0.52,0.52,0.49,0.66,0.5,0.49,0.45,0.56
4,AllGestureWiimoteZ,0.47,0.63,0.56,0.63,0.45,0.35,0.45,0.52,0.43,0.35,0.4,0.43
5,ArrowHead,0.76,0.78,0.76,0.78,0.73,0.73,0.68,0.75,0.73,0.7,0.66,0.72
6,BME,0.93,0.95,0.93,0.95,0.79,0.87,0.79,0.89,0.75,0.89,0.76,0.9
7,Beef,0.47,0.48,0.43,0.49,0.34,0.43,0.31,0.43,0.33,0.46,0.36,0.44
8,BeetleFly,0.72,0.85,0.75,0.85,0.6,0.83,0.56,0.82,0.65,0.71,0.62,0.74
9,BirdChicken,0.74,0.82,0.72,0.8,0.69,0.76,0.65,0.77,0.66,0.64,0.75,0.7
10,CBF,0.99,0.98,0.99,0.99,0.89,0.98,0.96,0.99,0.79,0.99,0.86,0.99
11,Car,0.9,0.92,0.91,0.92,0.82,0.84,0.81,0.85,0.81,0.84,0.8,0.86
12,Chinatown,0.9,0.95,0.9,0.93,0.92,0.97,0.91,0.96,0.86,0.95,0.84,0.95
13,ChlorineConcentration,0.66,0.75,0.7,0.77,0.56,0.62,0.57,0.67,0.57,0.63,0.57,0.7
14,CinCECGTorso,0.87,0.93,0.87,0.93,0.59,0.89,0.76,0.89,0.6,0.9,0.72,0.91
15,Coffee,0.98,1.0,1.0,1.0,0.99,1.0,0.99,0.98,0.95,1.0,0.95,1.0
16,Computers,0.63,0.67,0.64,0.68,0.66,0.68,0.64,0.58,0.64,0.65,0.63,0.63
17,CricketX,0.75,0.82,0.77,0.82,0.69,0.76,0.71,0.79,0.66,0.72,0.68,0.77
18,CricketY,0.71,0.78,0.73,0.78,0.67,0.71,0.7,0.74,0.63,0.69,0.65,0.73
19,CricketZ,0.73,0.81,0.75,0.81,0.68,0.75,0.72,0.78,0.65,0.74,0.67,0.77
20,Crop,0.69,0.62,0.7,0.7,0.66,0.71,0.68,0.72,0.67,0.73,0.69,0.73
21,DiatomSizeReduction,0.97,0.98,0.97,0.98,0.96,0.99,0.98,0.98,0.93,0.96,0.94,0.95
22,DistalPhalanxOutlineAgeGroup,0.82,0.76,0.78,0.74,0.81,0.82,0.82,0.78,0.79,0.82,0.8,0.79
23,DistalPhalanxOutlineCorrect,0.79,0.78,0.78,0.77,0.76,0.79,0.77,0.78,0.76,0.81,0.76,0.81
24,DistalPhalanxTW,0.77,0.74,0.77,0.73,0.77,0.76,0.77,0.74,0.76,0.78,0.77,0.75
25,DodgerLoopDay,0.48,0.48,0.5,0.46,0.45,0.46,0.33,0.44,0.48,0.49,0.34,0.52
26,DodgerLoopGame,0.8,0.78,0.81,0.77,0.7,0.73,0.75,0.73,0.64,0.82,0.69,0.8
27,DodgerLoopWeekend,0.96,0.97,0.95,0.97,0.91,0.96,0.93,0.96,0.86,0.96,0.85,0.97
28,ECG200,0.81,0.86,0.81,0.86,0.82,0.83,0.83,0.84,0.77,0.84,0.77,0.86
29,ECG5000,0.92,0.94,0.93,0.94,0.93,0.94,0.93,0.92,0.93,0.94,0.93,0.91
30,ECGFiveDays,0.75,0.99,0.74,1.0,0.7,0.97,0.74,1.0,0.88,0.99,0.95,0.99
31,EOGHorizontalSignal,0.62,0.66,0.63,0.67,0.58,0.57,0.59,0.62,0.6,0.59,0.62,0.65
32,EOGVerticalSignal,0.63,0.68,0.64,0.68,0.58,0.52,0.6,0.6,0.58,0.53,0.61,0.61
33,Earthquakes,0.66,0.73,0.7,0.73,0.78,0.76,0.78,0.6,0.78,0.76,0.78,0.63
