dataset_name,1NN-DTW,RDST,ROCKET,RSAST,RSAST_MF
ACSF1,,0.9179999999999999,0.89,0.35,
Adiac,0.603580563,0.7278772378516625,0.7841432225063938,0.58,0.5161125319693095
AllGestureWiimoteX,,0.7688571428571429,0.7794285714285715,0.44,
AllGestureWiimoteY,,0.7588571428571429,0.7688571428571429,0.49,
AllGestureWiimoteZ,,0.7102857142857143,0.758,0.38,
ArrowHead,0.702857143,0.8594285714285714,0.8068571428571427,0.79,0.8137142857142857
BME,,0.9933333333333332,1.0,0.83,0.6799999999999999
Beef,0.633333333,0.8333333333333334,0.8200000000000001,0.68,0.6533333333333333
BeetleFly,0.7,0.95,0.9,0.77,0.79
BirdChicken,0.75,0.9,0.9,0.85,1.0
CBF,0.996666667,0.9944444444444442,1.0,0.99,0.734
Car,0.733333333,0.9299999999999999,0.9066666666666666,0.84,0.7133333333333333
Chinatown,,0.9819241982507287,0.9825072886297376,0.98,0.9504373177842564
ChlorineConcentration,0.6484375,0.7631770833333333,0.818125,0.77,0.7026041666666666
CinCECGTorso,0.650724638,0.9934782608695653,0.8353623188405799,0.89,
Coffee,1.0,1.0,1.0,1.0,0.9857142857142858
Computers,0.7,0.7448,0.7736000000000001,0.64,0.6736
CricketX,0.753846154,0.8076923076923077,0.8179487179487179,0.8,0.752991452991453
CricketY,0.743589744,0.834871794871795,0.8487179487179487,0.76,0.7297435897435898
CricketZ,0.753846154,0.8517948717948718,0.8584615384615384,0.78,0.7476923076923077
Crop,,0.772797619047619,0.7565952380952381,0.63,0.7051309523809524
DiatomSizeReduction,0.967320261,0.9339869281045752,0.9679738562091504,0.95,0.8830065359477125
DistalPhalanxOutlineAgeGroup,0.769784173,0.7798561151079136,0.7453237410071942,0.72,0.7741007194244605
DistalPhalanxOutlineCorrect,0.717391304,0.7695652173913043,0.7695652173913043,0.73,0.7442028985507246
DistalPhalanxTW,0.589928058,0.7136690647482015,0.6992805755395683,0.62,0.7107913669064748
DodgerLoopDay,,0.635,0.6125,0.57,0.375
DodgerLoopGame,,0.8623188405797102,0.846376811594203,0.82,0.6246376811594203
DodgerLoopWeekend,,0.9782608695652174,0.9753623188405797,0.95,0.7507246376811594
ECG200,0.77,0.898,0.9200000000000002,0.88,0.782
ECG5000,0.924444444,0.9455111111111112,0.9472888888888888,0.94,0.8882666666666668
ECGFiveDays,0.767711963,0.9979094076655052,1.0,1.0,0.956562137049942
EOGHorizontalSignal,,0.6751381215469613,0.6408839779005525,0.37,
EOGVerticalSignal,,0.5453038674033148,0.543646408839779,0.33,
Earthquakes,0.71942446,0.7223021582733813,0.7553956834532374,0.72,0.6589928057553956
ElectricDevices,0.602126832,0.7402152768771885,0.7284139540915575,0.57,
EthanolLevel,,0.6568,0.5843999999999999,0.41,
FaceAll,0.807692308,0.7989349112426035,0.94698224852071,0.78,0.9701775147928995
FaceFour,0.829545455,0.9886363636363636,0.9772727272727272,1.0,0.9590909090909092
FacesUCR,0.904878049,0.9630243902439025,0.9623414634146341,0.96,0.9319024390243902
FiftyWords,0.69010989,0.8492307692307692,0.8298901098901099,0.77,
Fish,0.822857143,0.9942857142857144,0.9828571428571428,0.91,0.9199999999999999
FordA,0.554545455,0.95,0.9351515151515152,0.89,
FordB,0.619753086,0.8209876543209876,0.802962962962963,0.77,
FreezerRegularTrain,,0.9953684210526316,0.9976140350877193,0.98,0.8823157894736843
FreezerSmallTrain,,0.98940350877193,0.9494035087719299,0.86,0.7272280701754386
Fungi,,1.0,1.0,1.0,0.153763440860215
GestureMidAirD1,,0.7523076923076923,0.7276923076923076,0.51,
GestureMidAirD2,,0.6692307692307693,0.6707692307692308,0.43,
GestureMidAirD3,,0.41230769230769226,0.4076923076923077,0.28,
GesturePebbleZ1,,0.9034883720930231,0.9081395348837209,0.87,
GesturePebbleZ2,,0.8886075949367088,0.8354430379746836,0.85,
GunPoint,0.906666667,1.0,1.0,0.98,0.8826666666666666
GunPointAgeSpan,,0.9968354430379748,0.9968354430379748,0.97,0.9208860759493671
GunPointMaleVersusFemale,,1.0,0.9974683544303797,0.99,0.8924050632911392
GunPointOldVersusYoung,,1.0,0.9885714285714284,0.96,0.9320634920634919
Ham,0.466666667,0.7123809523809523,0.7142857142857143,0.74,0.7657142857142857
HandOutlines,0.881081081,0.9502702702702702,0.9459459459459459,0.91,
Haptics,0.376623377,0.5766233766233766,0.5253246753246753,0.39,
Herring,0.53125,0.678125,0.628125,0.66,0.58125
HouseTwenty,,0.9663865546218486,0.9596638655462184,0.83,0.9579831932773109
InlineSkate,0.383636364,0.44654545454545447,0.4767272727272728,0.28,
InsectEPGRegularTrain,,1.0,0.9991967871485944,0.78,1.0
InsectEPGSmallTrain,,0.9927710843373493,0.9775100401606427,0.7,0.96144578313253
InsectWingbeatSound,0.355050505,0.6603030303030304,0.6650505050505051,0.54,0.5123232323232323
ItalyPowerDemand,0.950437318,0.9451895043731777,0.9698736637512149,0.94,0.9356656948493682
LargeKitchenAppliances,0.794666667,0.8485333333333334,0.8991999999999999,0.59,
Lightning2,0.868852459,0.7704918032786885,0.7901639344262295,0.69,0.7180327868852459
Lightning7,0.726027397,0.7890410958904109,0.8246575342465754,0.67,0.5753424657534246
Mallat,0.933901919,0.9523240938166312,0.9559914712153518,0.91,
Meat,0.933333333,0.9266666666666665,0.95,0.94,0.9666666666666666
MedicalImages,0.736842105,0.7673684210526316,0.7989473684210526,0.64,0.5692105263157894
MelbournePedestrian,,0.9665436654366545,0.9064370643706436,0.88,0.8620746207462074
MiddlePhalanxOutlineAgeGroup,0.5,0.5831168831168831,0.5714285714285714,0.51,0.7064935064935065
MiddlePhalanxOutlineCorrect,0.697594502,0.8350515463917526,0.8343642611683849,0.81,0.7010309278350515
MiddlePhalanxTW,0.506493506,0.525974025974026,0.5454545454545454,0.52,0.525974025974026
