Dataset,Rocket,PF,ResNet,CHIEF,ITime
ACSF1,0.8860,0.7060,0.9160,0.8600,0.9200
AllGesWiiX,0.7900,0.7804,0.7406,0.7820,0.7900
AllGesWiiY,0.7727,0.7834,0.7937,0.7651,0.8329
AllGesWiiZ,0.7661,0.6956,0.7257,0.7020,0.8114
BME,1.0,1.0,0.9987,1.0,0.9933
Chinatown,0.9825,0.9738,0.9784,0.9816,0.9854
Crop,0.7513,0.7336,0.7429,0.7412,0.7722
DodgerLoopDay,0.5725,0.6800,0.1500,0.6138,0.1500
DodgerLoopGame,0.8732,0.9101,0.7101,0.9167,0.8551
DodgerLoopWeekend,0.9746,0.9855,0.9522,0.9783,0.9710
EOGHorSig,0.6390,0.6210,0.5994,0.6439,0.5939
EOGVerSig,0.5414,0.5348,0.4453,0.5307,0.4751
EthanolLevel,0.5828,0.2970,0.7584,0.5656,0.8140
FreezerRegularTrain,0.9976,0.9363,0.9985,0.9980,0.9965
FreezerSmallTrain,0.9496,0.7091,0.8322,0.9980,0.8674
Fungi,1.0,0.9527,0.1774,1.0,1.0
GestureMidAirD1,0.7169,0.6723,0.6985,0.7038,0.7462
GestureMidAirD2,0.6608,0.6423,0.6677,0.6823,0.7308
GestureMidAirD3,0.4146,0.3969,0.3400,0.4046,0.4000
GesturePebbleZ1,0.9058,0.8983,0.9012,0.8866,0.9244
GesturePebbleZ2,0.8304,0.8551,0.7772,0.8209,0.8861
GunPointAgeSpan,0.9968,0.9959,0.9968,0.9946,0.9873
GunPointMaleVersusFemale,0.9984,0.9949,0.9924,0.9937,0.9937
GunPointOldVersusYoung,0.9911,0.9832,0.9892,0.9749,0.9651
HouseTwenty,0.9639,0.9378,0.9832,0.9765,0.9748
InsEPGRegTra,1.0,0.9703,0.9976,1.0,1.0
InsEPGSmaTra,0.9791,0.8703,0.3719,0.9715,0.9438
MelbournePedestrian,0.9044,0.8813,0.9092,0.8817,0.9139
MixShaRegTra,0.9711,0.9624,0.9729,0.9684,0.9703
MixShaSmaTra,0.9382,0.9277,0.9165,0.9528,0.9146
PLAID,0.9026,0.8624,0.9404,0.9177,0.9441
PicGesWiiZ,0.8300,0.7120,0.7040,0.7600,0.7600
PigAirPre,0.0952,0.1793,0.4058,0.8880,0.5433
PigArtPressure,0.9538,0.6029,0.9913,0.9812,0.9952
PigCVP,0.9341,0.4418,0.9183,0.9678,0.9615
PowerCons,0.9400,0.9417,0.8789,0.9389,0.9444
Rock,0.9000,0.8660,0.5520,0.9220,0.8000
SemHanGenCh2,0.9268,0.9240,0.8237,0.8715,0.8167
SemHanMovCh2,0.6451,0.7778,0.4391,0.7624,0.4822
SemHanSubCh2,0.8811,0.9273,0.7387,0.9236,0.8244
ShaGesWiiZ,0.8980,0.8900,0.8800,0.8660,0.9000
SmoothSubspace,0.9787,1.0,0.9800,1.0,0.9933
UMD,0.9924,0.9903,0.9903,0.9889,0.9861
