,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,1.0,3.1317343711853027,1.5754115581512451,Trace,num_kernels=10_000,Rocket
1,1.0,3.475339889526367,2.9291837215423584,Trace,convst: n_shapelets=10_000,RDST
2,1.0,3.174508810043335,1.5763351917266846,Trace,num_kernels=10_000,Rocket
3,1.0,3.466726779937744,2.921645164489746,Trace,convst: n_shapelets=10_000,RDST
4,1.0,3.1657238006591797,1.57431960105896,Trace,num_kernels=10_000,Rocket
5,1.0,3.4938018321990967,2.9337527751922607,Trace,convst: n_shapelets=10_000,RDST
6,1.0,3.176788806915283,1.579146385192871,Trace,num_kernels=10_000,Rocket
7,1.0,3.4861762523651123,2.931220054626465,Trace,convst: n_shapelets=10_000,RDST
8,1.0,3.167039632797241,1.577256679534912,Trace,num_kernels=10_000,Rocket
9,1.0,3.4871091842651367,2.930677652359009,Trace,convst: n_shapelets=10_000,RDST
10,1.0,3.1722397804260254,1.572582721710205,Trace,num_kernels=10_000,Rocket
11,1.0,3.4871139526367188,2.94646954536438,Trace,convst: n_shapelets=10_000,RDST
12,1.0,3.166415214538574,1.572364330291748,Trace,num_kernels=10_000,Rocket
13,1.0,3.4792659282684326,2.931810140609741,Trace,convst: n_shapelets=10_000,RDST
14,1.0,3.1782140731811523,1.5764284133911133,Trace,num_kernels=10_000,Rocket
15,1.0,3.488079309463501,2.9417197704315186,Trace,convst: n_shapelets=10_000,RDST
16,1.0,3.161616802215576,1.5701870918273926,Trace,num_kernels=10_000,Rocket
17,1.0,3.4826719760894775,2.9321563243865967,Trace,convst: n_shapelets=10_000,RDST
18,1.0,3.1625418663024902,1.5792908668518066,Trace,num_kernels=10_000,Rocket
19,1.0,3.4910573959350586,2.9467344284057617,Trace,convst: n_shapelets=10_000,RDST
