,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.768,19.76937437057495,9.791452646255493,Computers,num_kernels=10_000,Rocket
1,0.74,19.718079328536987,16.77859616279602,Computers,convst: n_shapelets=10_000,RDST
2,0.78,19.72620916366577,9.76153564453125,Computers,num_kernels=10_000,Rocket
3,0.748,19.554182767868042,16.625139713287354,Computers,convst: n_shapelets=10_000,RDST
4,0.772,19.684485912322998,9.751439094543457,Computers,num_kernels=10_000,Rocket
5,0.756,19.684880256652832,16.764741897583008,Computers,convst: n_shapelets=10_000,RDST
6,0.784,19.65378427505493,9.734492778778076,Computers,num_kernels=10_000,Rocket
7,0.736,19.52149486541748,16.5884850025177,Computers,convst: n_shapelets=10_000,RDST
8,0.764,19.5787992477417,9.706570148468018,Computers,num_kernels=10_000,Rocket
9,0.744,19.60205340385437,16.626522302627563,Computers,convst: n_shapelets=10_000,RDST
