,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.6125,3.4487123489379883,1.4645073413848877,DodgerLoopDay,num_kernels=10_000,Rocket
1,0.6125,2.9566664695739746,2.4999208450317383,DodgerLoopDay,convst: n_shapelets=10_000,RDST
2,0.6375,2.6028969287872314,1.3241753578186035,DodgerLoopDay,num_kernels=10_000,Rocket
3,0.65,2.8636412620544434,2.4269120693206787,DodgerLoopDay,convst: n_shapelets=10_000,RDST
4,0.6125,2.6010799407958984,1.3220322132110596,DodgerLoopDay,num_kernels=10_000,Rocket
5,0.6625,2.8766725063323975,2.435518741607666,DodgerLoopDay,convst: n_shapelets=10_000,RDST
6,0.625,2.590726137161255,1.3178584575653076,DodgerLoopDay,num_kernels=10_000,Rocket
7,0.6125,2.8708887100219727,2.4314680099487305,DodgerLoopDay,convst: n_shapelets=10_000,RDST
8,0.575,2.848985433578491,1.765737533569336,DodgerLoopDay,num_kernels=10_000,Rocket
9,0.6375,2.9043688774108887,2.469404458999634,DodgerLoopDay,convst: n_shapelets=10_000,RDST
