,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,1.0,1.162252426147461,2.609853506088257,GunPoint,num_kernels=10_000,Rocket
1,1.0,0.8757729530334473,1.9043879508972168,GunPoint,convst: n_shapelets=10_000,RDST
2,1.0,1.713498592376709,1.5402145385742188,GunPoint,num_kernels=10_000,Rocket
3,1.0,0.7861557006835938,1.8882522583007812,GunPoint,convst: n_shapelets=10_000,RDST
4,1.0,1.796581506729126,1.4770772457122803,GunPoint,num_kernels=10_000,Rocket
5,1.0,0.7865889072418213,1.8807196617126465,GunPoint,convst: n_shapelets=10_000,RDST
6,1.0,0.945385217666626,1.3399393558502197,GunPoint,num_kernels=10_000,Rocket
7,1.0,0.7710373401641846,1.8449101448059082,GunPoint,convst: n_shapelets=10_000,RDST
8,1.0,1.704488754272461,2.0309128761291504,GunPoint,num_kernels=10_000,Rocket
9,1.0,1.4827914237976074,2.0962326526641846,GunPoint,convst: n_shapelets=10_000,RDST
