,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,1.0,2.881427764892578,0.9287681579589844,Plane,num_kernels=10_000,Rocket
1,1.0,2.7768056392669678,2.6215245723724365,Plane,convst: n_shapelets=10_000,RDST
2,1.0,2.909435987472534,0.9261195659637451,Plane,num_kernels=10_000,Rocket
3,1.0,1.8631908893585205,1.5083215236663818,Plane,convst: n_shapelets=10_000,RDST
4,1.0,1.9041502475738525,0.9315226078033447,Plane,num_kernels=10_000,Rocket
5,1.0,1.852658987045288,1.5256407260894775,Plane,convst: n_shapelets=10_000,RDST
6,1.0,1.9073545932769775,0.9314584732055664,Plane,num_kernels=10_000,Rocket
7,1.0,1.8492858409881592,1.5170414447784424,Plane,convst: n_shapelets=10_000,RDST
8,1.0,1.8918476104736328,0.9206759929656982,Plane,num_kernels=10_000,Rocket
9,1.0,1.851567268371582,1.5286481380462646,Plane,convst: n_shapelets=10_000,RDST
