,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,1.0,1.7513058185577393,6.345915794372559,ShapeletSim,num_kernels=10_000,Rocket
1,1.0,1.540376901626587,10.448370218276978,ShapeletSim,convst: n_shapelets=10_000,RDST
2,1.0,1.1631202697753906,4.930020093917847,ShapeletSim,num_kernels=10_000,Rocket
3,0.9944444444444445,1.472280740737915,9.234996318817139,ShapeletSim,convst: n_shapelets=10_000,RDST
4,1.0,1.1635932922363281,4.931910753250122,ShapeletSim,num_kernels=10_000,Rocket
5,0.9944444444444445,1.490983009338379,9.340429782867432,ShapeletSim,convst: n_shapelets=10_000,RDST
6,1.0,1.1628851890563965,4.929527282714844,ShapeletSim,num_kernels=10_000,Rocket
7,0.9944444444444445,1.4782440662384033,9.234574794769287,ShapeletSim,convst: n_shapelets=10_000,RDST
8,1.0,1.1599657535552979,4.883777379989624,ShapeletSim,num_kernels=10_000,Rocket
9,0.9944444444444445,1.4957938194274902,9.350288391113281,ShapeletSim,convst: n_shapelets=10_000,RDST
