,accuracy,time_fit,time_test,dataset_name,hyperparameter,classifier_name
0,0.981081081081081,17.647809982299805,5.75634241104126,Strawberry,num_kernels=10_000,Rocket
1,0.9756756756756757,19.09253430366516,9.988920450210571,Strawberry,convst: n_shapelets=10_000,RDST
2,0.981081081081081,17.827484607696533,4.8683295249938965,Strawberry,num_kernels=10_000,Rocket
3,0.9756756756756757,16.935359239578247,8.794395923614502,Strawberry,convst: n_shapelets=10_000,RDST
4,0.981081081081081,19.65035319328308,4.888762950897217,Strawberry,num_kernels=10_000,Rocket
5,0.9756756756756757,17.008455753326416,8.81674313545227,Strawberry,convst: n_shapelets=10_000,RDST
6,0.981081081081081,16.620413780212402,5.755300045013428,Strawberry,num_kernels=10_000,Rocket
7,0.9756756756756757,18.225852251052856,8.873975276947021,Strawberry,convst: n_shapelets=10_000,RDST
8,0.9837837837837838,16.541189193725586,4.881861209869385,Strawberry,num_kernels=10_000,Rocket
9,0.9783783783783784,17.027116775512695,8.84564733505249,Strawberry,convst: n_shapelets=10_000,RDST
